date,price,ma_3,ma_12
2015-12-01 00:00:00+00:00,1060.300049,1060.300049,1060.300049
2016-01-01 00:00:00+00:00,1116.400024,1088.3500365,1088.3500365
2016-02-01 00:00:00+00:00,1233.900024,1136.866699,1136.866699
2016-03-01 00:00:00+00:00,1234.199951,1194.833333,1161.200012
2016-04-01 00:00:00+00:00,1289.199951,1252.4333086666668,1186.7999998
2016-05-01 00:00:00+00:00,1214.800049,1246.0666503333334,1191.4666746666667
2016-06-01 00:00:00+00:00,1318.400024,1274.1333413333334,1209.6000102857142
2016-07-01 00:00:00+00:00,1349.0,1294.066691,1227.025009
2016-08-01 00:00:00+00:00,1306.900024,1324.7666826666666,1235.9000106666667
2016-09-01 00:00:00+00:00,1313.300049,1323.066691,1243.6400145
2016-10-01 00:00:00+00:00,1271.5,1297.2333576666667,1246.1727404545454
2016-11-01 00:00:00+00:00,1170.800049,1251.8666993333334,1239.8916828333333
2016-12-01 00:00:00+00:00,1150.0,1197.4333496666666,1247.36667875
2017-01-01 00:00:00+00:00,1208.599976,1176.466675,1255.0500080833333
2017-02-01 00:00:00+00:00,1252.599976,1203.7333173333334,1256.6083374166667
2017-03-01 00:00:00+00:00,1247.300049,1236.166667,1257.7000122499999
2017-04-01 00:00:00+00:00,1266.099976,1255.3333336666667,1255.7750143333333
2017-05-01 00:00:00+00:00,1272.0,1261.8000083333334,1260.5416769166666
2017-06-01 00:00:00+00:00,1240.699951,1259.5999756666668,1254.0666708333333
2017-07-01 00:00:00+00:00,1266.599976,1259.7666423333333,1247.2000021666665
2017-08-01 00:00:00+00:00,1316.199951,1274.4999593333334,1247.9749960833333
2017-09-01 00:00:00+00:00,1281.5,1288.0999756666668,1245.324992
2017-10-01 00:00:00+00:00,1267.0,1288.233317,1244.949992
2017-11-01 00:00:00+00:00,1273.199951,1273.8999836666667,1253.4833171666667
2017-12-01 00:00:00+00:00,1306.300049,1282.1666666666667,1266.5083212499999
2018-01-01 00:00:00+00:00,1339.0,1306.1666666666667,1277.3749899166667
2018-02-01 00:00:00+00:00,1315.5,1320.266683,1282.6166585833332
2018-03-01 00:00:00+00:00,1322.800049,1325.766683,1288.9083252500002
2018-04-01 00:00:00+00:00,1316.199951,1318.1666666666667,1293.0833231666666
2018-05-01 00:00:00+00:00,1300.099976,1313.0333253333333,1295.4249878333333
2018-06-01 00:00:00+00:00,1251.300049,1289.199992,1296.3083293333334
2018-07-01 00:00:00+00:00,1223.699951,1258.3666586666666,1292.73332725
2018-08-01 00:00:00+00:00,1200.300049,1225.1000163333333,1283.0750020833334
2018-09-01 00:00:00+00:00,1191.5,1205.1666666666667,1275.5750020833334
2018-10-01 00:00:00+00:00,1212.300049,1201.3666993333334,1271.0166728333334
2018-11-01 00:00:00+00:00,1220.199951,1208.0,1266.6000061666666
2018-12-01 00:00:00+00:00,1278.300049,1236.9333496666666,1264.2666728333334
2019-01-01 00:00:00+00:00,1319.699951,1272.733317,1262.6583354166667
2019-02-01 00:00:00+00:00,1312.800049,1303.6000163333333,1262.4333395
2019-03-01 00:00:00+00:00,1293.0,1308.5,1259.9500020833332
2019-04-01 00:00:00+00:00,1282.800049,1296.2000326666666,1257.1666769166666
2019-05-01 00:00:00+00:00,1305.800049,1293.8666993333334,1257.641683
2019-06-01 00:00:00+00:00,1409.699951,1332.766683,1270.8416748333332
2019-07-01 00:00:00+00:00,1426.099976,1380.533325333333,1287.7083435833335
2019-08-01 00:00:00+00:00,1519.099976,1451.6333009999998,1314.2750041666666
2019-09-01 00:00:00+00:00,1465.699951,1470.2999676666666,1337.1250000833334
2019-10-01 00:00:00+00:00,1511.400024,1498.7333170000002,1362.049998
2019-11-01 00:00:00+00:00,1465.599976,1480.899983666667,1382.5000000833334
2019-12-01 00:00:00+00:00,1519.5,1498.8333333333333,1402.599996
2020-01-01 00:00:00+00:00,1582.900024,1522.6666666666667,1424.5333354166667
2020-02-01 00:00:00+00:00,1564.099976,1555.5,1445.474996
2020-03-01 00:00:00+00:00,1583.400024,1576.8000080000002,1469.6749980000002
2020-04-01 00:00:00+00:00,1684.199951,1610.5666503333334,1503.1249898333335
2020-05-01 00:00:00+00:00,1736.900024,1668.1666663333333,1539.04998775
2020-06-01 00:00:00+00:00,1793.0,1738.033325,1570.9916585
2020-07-01 00:00:00+00:00,1962.800049,1830.9000243333332,1615.716664583333
2020-08-01 00:00:00+00:00,1967.599976,1907.8000083333334,1653.0916645833333
2020-09-01 00:00:00+00:00,1887.5,1939.3000083333334,1688.2416686666666
2020-10-01 00:00:00+00:00,1877.400024,1910.8333333333333,1718.7416686666668
2020-11-01 00:00:00+00:00,1775.699951,1846.8666583333334,1744.58333325
2020-12-01 00:00:00+00:00,1893.099976,1848.7333170000002,1775.716664583333
2021-01-01 00:00:00+00:00,1847.300049,1838.6999919999998,1797.75
2021-02-01 00:00:00+00:00,1728.099976,1822.8333336666667,1811.4166666666667
2021-03-01 00:00:00+00:00,1713.800049,1763.0666913333334,1822.2833354166667
2021-04-01 00:00:00+00:00,1767.300049,1736.4000246666667,1829.2083435833335
2021-05-01 00:00:00+00:00,1902.5,1794.533366,1843.0083415833333
2021-06-01 00:00:00+00:00,1770.800049,1813.533366,1841.1583456666667
2021-07-01 00:00:00+00:00,1812.599976,1828.6333416666666,1828.6416729166667
2021-08-01 00:00:00+00:00,1815.0,1799.466675,1815.92500825
2021-09-01 00:00:00+00:00,1755.300049,1794.3000083333334,1804.9083456666667
2021-10-01 00:00:00+00:00,1783.0,1784.4333496666666,1797.041677
