date,predicted_gold_price
2026-01-01,4661.2920097073
2026-02-01,4701.565653881242
2026-03-01,5175.567259135031
2026-04-01,5477.536032740492
2026-05-01,5450.852563171464
2026-06-01,5459.967978657114
2026-07-01,5457.979241943038
2026-08-01,5757.1306046993595
2026-09-01,6365.543317079868
2026-10-01,6599.892200054437
2026-11-01,6991.191884656485
2026-12-01,7221.895087039855
